PLAYER	2020/21 	2020/21(*)
443.	Paul Watson	$1,445,697	$1,523,641
443.	Zylan Cheatham	$1,445,697	$1,523,641
443.	Kelan Martin	$1,445,697	$1,523,641
443.	DaQuan Jeffries	$1,445,697	$1,523,641
443.	Jae'Sean Tate	$1,445,697	$1,523,641
448.	Vernon Carey	$1,350,000	$1,422,784
449.	Xavier Tillman	$1,300,000	$1,370,088
450.	Tyrell Terry	$1,289,846	$1,359,387
451.	Oshae Brissett	$1,255,493	$1,323,181
452.	Moses Brown	$1,250,000	$1,317,393
453.	Sindarius Thornwell	$1,235,889	$1,302,521
454.	Ersan Ilyasova	$1,194,542	$1,258,945
455.	Glenn Robinson III	$1,165,322	$1,228,149
456.	Zhaire Smith	$1,068,200	$1,125,791
457.	Khyri Thomas	$1,061,283	$1,118,501
458.	Guerschon Yabusele	$1,039,080	$1,095,101
459.	Norvel Pelle	$1,014,905	$1,069,622
460.	Jahmi'us Ramsey	$1,000,000	$1,053,914
460.	Lamar Stevens	$1,000,000	$1,053,914
460.	Nick Richards	$1,000,000	$1,053,914
463.	Kyle Singler	$999,200	$1,053,071
464.	Juan Toscano-Anderson	$943,963	$994,856
465.	Shaquille Harrison	$915,048	$964,381
466.	Chimezie Metu	$910,895	$960,005
467.	Anthony Gill	$898,310	$946,741
467.	Elijah Hughes	$898,310	$946,741
467.	Tre Jones	$898,310	$946,741
467.	CJ Elleby	$898,310	$946,741
467.	Isaiah Joe	$898,310	$946,741
467.	Sam Merrill	$898,310	$946,741
467.	Jordan Nwora	$898,310	$946,741
467.	Daniel Oturu	$898,310	$946,741
467.	KJ Martin	$898,310	$946,741
467.	Deividas Sirvydis	$898,310	$946,741
477.	Iman Shumpert	$803,044	$846,339
478.	Theo Pinson	$802,182	$845,431
479.	Yuta Watanabe	$737,996	$777,784
480.	Tremont Waters	$712,278	$750,680
481.	Frank Jackson	$699,115	$736,806
482.	Rayjon Tucker	$693,755	$731,157
483.	Tyler Cook	$693,141	$730,510
484.	Garrison Mathews	$688,052	$725,147
485.	Cole Aldrich	$685,340	$722,289
486.	Shaun Livingston	$666,666	$702,608
487.	Gabe Vincent	$660,750	$696,374
488.	Tacko Fall	$653,924	$689,179
489.	Max Strus	$647,098	$681,985
490.	Alize Johnson	$621,587	$655,099
491.	Anthony Tolliver	$614,838	$647,986
492.	Paul Reed	$609,128	$641,968
493.	Tim Frazier	$597,463	$629,674
494.	Jordan Bell	$592,368	$624,304
495.	Amir Coffey	$578,842	$610,049
496.	Naji Marshall	$538,391	$567,418
497.	Kyle Guy	$537,888	$566,887
498.	Markus Howard	$535,294	$564,154
499.	Skylar Mays	$532,218	$560,912
500.	Mamadi Diakite	$529,341	$557,880
501.	Nathan Knight	$522,989	$551,185
502.	Jared Harper	$520,487	$548,548
503.	Saben Lee	$516,836	$544,700
504.	Jarrell Brantley	$510,586	$538,113
505.	Jordan McLaughlin	$503,760	$530,919
506.	Rondae Hollis-Jefferson	$502,957	$530,073
507.	Reggie Perry	$489,148	$515,520
508.	Trent Forrest	$470,690	$496,067
508.	Cassius Stanley	$470,690	$496,067
510.	Dakari Johnson	$459,414	$484,183
511.	Cassius Winston	$449,115	$473,328
511.	Jalen Harris	$449,115	$473,328
511.	Keita Bates-Diop	$449,115	$473,328
511.	Quinndary Weatherspoon	$449,115	$473,328
511.	Keljin Blevins	$449,115	$473,328
511.	Ty-Shon Alexander	$449,115	$473,328
511.	Josh Hall	$449,115	$473,328
511.	Jaylen Adams	$449,115	$473,328
511.	Sean McDermott	$449,115	$473,328
511.	Killian Tillie	$449,115	$473,328
511.	Devontae Cacok	$449,115	$473,328
511.	Kostas Antetokounmpo	$449,115	$473,328
511.	Jay Scrubb	$449,115	$473,328
511.	Nico Mannion	$449,115	$473,328
511.	Nate Hinton	$449,115	$473,328
511.	Tyler Bey	$449,115	$473,328
511.	Marques Bolden	$449,115	$473,328
511.	Adam Mokoka	$449,115	$473,328
511.	Devon Dotson	$449,115	$473,328
511.	Nate Darling	$449,115	$473,328
511.	Grant Riller	$449,115	$473,328
511.	Chris Chiozza	$449,115	$473,328
533.	Yogi Ferrell	$444,149	$468,095
534.	Noah Vonleh	$427,725	$450,784
535.	Mason Jones	$424,544	$447,432
536.	Brodric Thomas	$412,202	$434,425
537.	Andre Roberson	$411,639	$433,832
538.	Donta Hall	$376,276	$396,562
539.	Brian Bowen	$375,321	$395,556
540.	Anzejs Pasecniks	$374,297	$394,477
541.	Freddie Gillespie	$363,015	$382,586
542.	AJ Hammons	$350,087	$368,961
543.	Karim Mane	$344,557	$363,133
544.	Will Magnay	$341,481	$359,891
545.	Greg Whittington	$332,252	$350,165
546.	Raymond Spalding	$289,156	$304,745
547.	Chasson Randle	$279,927	$295,019
548.	Justin Patton	$267,623	$282,051
549.	Gary Payton II	$249,864	$263,335
550.	Mike James	$237,648	$250,460
551.	Charlie Brown	$217,844	$229,588
552.	Anthony Lamb	$215,330	$226,939
553.	Justin Robinson	$198,040	$208,717
554.	Axel Toupane	$196,872	$207,486
555.	Henry Ellenson	$168,983	$178,093
556.	Ashton Hagans	$166,111	$175,066
