Player,Year,Salary
Moe Harkless,2020,3623000
Wayne Ellington,2020,3564753
Kyle Kuzma,2020,3562178
Michael Porter,2020,3550800
Tony Bradley,2020,3542060
Derrick White,2020,3516284
Bismack Biyombo,2020,3500000
Boban Marjanovic,2020,3500000
TJ McConnell,2020,3500000
Luca Vildoza,2020,3500000
Josh Hart,2020,3491159
Aaron Nesmith,2020,3458400
Sekou Doumbouya,2020,3449400
Dewayne Dedmon,2020,3447478
Troy Brown,2020,3372840
Jeff Teague,2020,3372826
Michael Carter-Williams,2020,3300000
James Ennis,2020,3300000
Cole Anthony,2020,3285120
Taj Gibson,2020,3283684
Facundo Campazzo,2020,3200000
Jon Leuer,2020,3169348
Isaiah Stewart,2020,3121080
Chuma Okeke,2020,3121080
Nickeil Alexander-Walker,2020,3113160
DeMarcus Cousins,2020,3051832
Donte DiVincenzo,2020,3044160
Khem Birch,2020,3011499
Ryan Arcidiacono,2020,3000000
Trey Burke,2020,3000000
Aleksej Pokusevski,2020,2964840
Goga Bitadze,2020,2957520
Lonnie Walker,2020,2895720
Ben McLemore,2020,2893630
Andrew Nicholson,2020,2844429
Luka Samanic,2020,2824320
Josh Green,2020,2816760
Kevin Huerter,2020,2761920
Alex Caruso,2020,2750000
Marko Guduric,2020,2750000
Matisse Thybulle,2020,2711280
Saddiq Bey,2020,2689920
Josh Okogie,2020,2651040
Vincent Poirier,2020,2619207
Brandon Clarke,2020,2602920
Precious Achiuwa,2020,2582160
Jeff Green,2020,2564753
Jose Juan Barea,2020,2564753
Marc Gasol,2020,2564753
Jared Dudley,2020,2564753
Udonis Haslem,2020,2564753
Dwight Howard,2020,2564753
Carmelo Anthony,2020,2564753
Grayson Allen,2020,2545320
Grant Williams,2020,2498760
Tyrese Maxey,2020,2478840
Chandler Hutchison,2020,2443440
Mfiondu Kabengele,2020,2432353
Darius Bazley,2020,2399160
Moritz Wagner,2020,2383915
Zeke Nnaji,2020,2379840
Aaron Holiday,2020,2345640
Bryn Forbes,2020,2337145
Reggie Jackson,2020,2331593
Markieff Morris,2020,2331593
E'Twaun Moore,2020,2331593
Kent Bazemore,2020,2320044
Hassan Whiteside,2020,2320044
Ty Jerome,2020,2303040
Mike Muscala,2020,2283034
Anfernee Simons,2020,2252040
Luke Kornet,2020,2250000
Brad Wanamaker,2020,2250000
Monta Ellis,2020,2245400
Nassir Little,2020,2210640
RJ Hampton,2020,2193480
Solomon Hill,2020,2174318
Matthew Dellavedova,2020,2174318
Edmond Sumner,2020,2160000
Anderson Varejao,2020,2141713
Dylan Windler,2020,2137440
Immanuel Quickley,2020,2105520
John Konchar,2020,2100000
Landry Shamet,2020,2090040
Jordan Poole,2020,2063280
Bol Bol,2020,2058240
Keldon Johnson,2020,2048040
Payton Pritchard,2020,2035800
Robert Williams,2020,2029920
Tyler Johnson,2020,2028594
Bruno Caboclo,2020,2028594
Langston Galloway,2020,2028594
Gary Clark,2020,2018458
Jacob Evans,2020,2017320
Spencer Hawes,2020,2007058
Dzanan Musa,2020,2002800
Damyean Dotson,2020,2000000
Kenrich Williams,2020,2000000
Theo Maledon,2020,2000000
Omari Spellman,2020,1988280
Quinn Cook,2020,1981649
Mario Hezonja,2020,1977011
Cameron Payne,2020,1977011
Udoka Azubuike,2020,1977000
Jaden McDaniels,2020,1964760
Malachi Flynn,2020,1950600
Desmond Bane,2020,1936440
Jontay Porter,2020,1900000
Jahlil Okafor,2020,1882867
JaKarr Sampson,2020,1882867
Raul Neto,2020,1882867
Larry Sanders,2020,1865546
Timothe Luwawu,2020,1824003
David Nwaba,2020,1824003
Marquese Chriss,2020,1824003
Georges Niang,2020,1783557
Rodions Kurucs,2020,1780152
PJ Dozier,2020,1762796
Damion Lee,2020,1762796
Alfonzo McKinnie,2020,1762796
Furkan Korkmaz,2020,1762796
Semi Ojeleye,2020,1752950
Abdel Nader,2020,1752950
Thon Maker,2020,1737145
Willy Hernangomez,2020,1737145
Frank Kaminsky,2020,1737145
DeAndre Bembry,2020,1737145
Monte Morris,2020,1723707
Kevin Porter,2020,1717981
Brandon Goodwin,2020,1701593
Thanasis Antetokounmpo,2020,1701593
Shake Milton,2020,1701593
Ignas Brazdeikis,2020,1686315
Sterling Brown,2020,1678854
Wesley Iwundu,2020,1678854
Dwayne Bacon,2020,1678854
Torrey Craig,2020,1678854
Bruce Brown,2020,1663861
Devonte Graham,2020,1663861
Jalen Brunson,2020,1663861
Hamidou Diallo,2020,1663861
Duncan Robinson,2020,1663861
Kendrick Nunn,2020,1663861
Jarred Vanderbilt,2020,1663861
Mitchell Robinson,2020,1663861
Sviatoslav Mykhailiuk,2020,1663861
Gary Trent Jr,2020,1663861
Isaac Bonga,2020,1663861
Isaiah Hartenstein,2020,1620564
Wenyen Gabriel,2020,1620564
Josh Gray,2020,1620564
Harry Giles,2020,1620564
Drew Eubanks,2020,1620564
Bruno Fernando,2020,1517981
Carsen Edwards,2020,1517981
Nicolas Claxton,2020,1517981
Cody Martin,2020,1517981
Caleb Martin,2020,1517981
Jalen McDaniels,2020,1517981
Javonte Green,2020,1517981
Dean Wade,2020,1517981
Vlatko Cancar,2020,1517981
Eric Paschall,2020,1517981
Alen Smailagic,2020,1517981
Mychal Mulder,2020,1517981
Chris Clemons,2020,1517981
Jalen Lecque,2020,1517981
Terance Mann,2020,1517981
Talen Horton-Tucker,2020,1517981
KZ Okpala,2020,1517981
Naz Reid,2020,1517981
Jaylen Nowell,2020,1517981
Luguentz Dort,2020,1517981
Isaiah Roby,2020,1517981
Admiral Schofield,2020,1517981
Justin James,2020,1517981
Terence Davis,2020,1517981
Chris Silva,2020,1517981
Miye Oni,2020,1517981
Juwan Morgan,2020,1517981
Matt Thomas,2020,1517981
Daniel Gafford,2020,1517981
Robert Woodard,2020,1500000
Damian Jones,2020,1487284
JR Smith,2020,1456667
Jae'Sean Tate,2020,1445697
DaQuan Jeffries,2020,1445697
Kelan Martin,2020,1445697
Zylan Cheatham,2020,1445697
Paul Watson,2020,1445697
Vernon Carey,2020,1350000
Xavier Tillman,2020,1300000
Tyrell Terry,2020,1289846
Oshae Brissett,2020,1255493
Moses Brown,2020,1250000
Sindarius Thornwell,2020,1235889
Ersan Ilyasova,2020,1194542
Glenn Robinson III,2020,1165322
Zhaire Smith,2020,1068200
Khyri Thomas,2020,1061283
Guerschon Yabusele,2020,1039080
Norvel Pelle,2020,1014905
Nick Richards,2020,1000000
Lamar Stevens,2020,1000000
Jahmi'us Ramsey,2020,1000000
Kyle Singler,2020,999200
Juan Toscano-Anderson,2020,943963
Shaquille Harrison,2020,915048
Chimezie Metu,2020,910895
Deividas Sirvydis,2020,898310
KJ Martin,2020,898310
Daniel Oturu,2020,898310
Jordan Nwora,2020,898310
Sam Merrill,2020,898310
Isaiah Joe,2020,898310
CJ Elleby,2020,898310
Tre Jones,2020,898310
Elijah Hughes,2020,898310
Anthony Gill,2020,898310
Iman Shumpert,2020,803044
Theo Pinson,2020,802182
Yuta Watanabe,2020,737996
Tremont Waters,2020,712278
Frank Jackson,2020,699115
Rayjon Tucker,2020,693755
Tyler Cook,2020,693141
Garrison Mathews,2020,688052
Cole Aldrich,2020,685340
Shaun Livingston,2020,666666
Gabe Vincent,2020,660750
Tacko Fall,2020,653924
Max Strus,2020,647098
Alize Johnson,2020,621587
Anthony Tolliver,2020,614838
Paul Reed,2020,609128
Tim Frazier,2020,597463
Jordan Bell,2020,592368
Amir Coffey,2020,578842
Naji Marshall,2020,538391
Kyle Guy,2020,537888
Markus Howard,2020,535294
Skylar Mays,2020,532218
Mamadi Diakite,2020,529341
Nathan Knight,2020,522989
Jared Harper,2020,520487
Saben Lee,2020,516836
Jarrell Brantley,2020,510586
Jordan McLaughlin,2020,503760
Rondae Hollis-Jefferson,2020,502957
Reggie Perry,2020,489148
Cassius Stanley,2020,470690
Trent Forrest,2020,470690
Dakari Johnson,2020,459414
Chris Chiozza,2020,449115
Grant Riller,2020,449115
Nate Darling,2020,449115
Devon Dotson,2020,449115
Adam Mokoka,2020,449115
Marques Bolden,2020,449115
Tyler Bey,2020,449115
Nate Hinton,2020,449115
Nico Mannion,2020,449115
Jay Scrubb,2020,449115
Kostas Antetokounmpo,2020,449115
Devontae Cacok,2020,449115
Killian Tillie,2020,449115
Sean McDermott,2020,449115
Jaylen Adams,2020,449115
Josh Hall,2020,449115
Ty-Shon Alexander,2020,449115
Keljin Blevins,2020,449115
Quinndary Weatherspoon,2020,449115
Keita Bates-Diop,2020,449115
Jalen Harris,2020,449115
Cassius Winston,2020,449115
Yogi Ferrell,2020,444149
Noah Vonleh,2020,427725
Mason Jones,2020,424544
Brodric Thomas,2020,412202
Andre Roberson,2020,411639
Donta Hall,2020,376276
Brian Bowen,2020,375321
Anzejs Pasecniks,2020,374297
Freddie Gillespie,2020,363015
AJ Hammons,2020,350087
Karim Mane,2020,344557
Will Magnay,2020,341481
Greg Whittington,2020,332252
Raymond Spalding,2020,289156
Chasson Randle,2020,279927
Justin Patton,2020,267623
Gary Payton II,2020,249864
Mike James,2020,237648
Charlie Brown,2020,217844
Anthony Lamb,2020,215330
Justin Robinson,2020,198040
Axel Toupane,2020,196872
Henry Ellenson,2020,168983
Ashton Hagans,2020,166111
Isaiah Thomas,2020,159698
John Henson,2020,158907
Armoni Brooks,2020,135362
Jordan Bone,2020,135350
Jaylen Hoard,2020,129209
Justin Anderson,2020,125000
Amida Brimah,2020,123056
Didi Louzada,2020,123056
Troy Williams,2020,122741
James Nunnally,2020,107674
Demetrius Jackson,2020,92857
Dakota Mathias,2020,86132
Malik Fitts,2020,61528
Jeremiah Martin,2020,58452
Jerian Grant,2020,50000
Louis King,2020,49222
Cameron Oliver,2020,43070
Cam Reynolds,2020,33299
Tyler Hall,2020,25000
Andrew White,2020,25000
Elijah Bryant,2020,24611
Caleb Homesley,2020,20000
Stephen Curry,2019,40231758
Russell Westbrook,2019,38506482
Chris Paul,2019,38506482
James Harden,2019,38199000
John Wall,2019,38199000
LeBron James,2019,37436858
Kevin Durant,2019,37199000
Blake Griffin,2019,34449964
Kyle Lowry,2019,33296296
Paul George,2019,33005556
Kemba Walker,2019,32742000
Klay Thompson,2019,32742000
Kawhi Leonard,2019,32742000
Jimmy Butler,2019,32742000
Tobias Harris,2019,32742000
Gordon Hayward,2019,32700690
Mike Conley,2019,32511623
Kyrie Irving,2019,31742000
Khris Middleton,2019,30603448
Paul Millsap,2019,30350000
Damian Lillard,2019,29802321
Kevin Love,2019,28942830
Nikola Vucevic,2019,28000000
Al Horford,2019,28000000
DeMar DeRozan,2019,27739975
CJ McCollum,2019,27556959
Nikola Jokic,2019,27504630
Andrew Wiggins,2019,27504630
Joel Embiid,2019,27504630
Kristaps Porzingis,2019,27285000
D'Angelo Russell,2019,27285000
Karl-Anthony Towns,2019,27285000
Devin Booker,2019,27285000
Otto Porter,2019,27250576
Anthony Davis,2019,27093019
Andre Drummond,2019,27093018
Hassan Whiteside,2019,27093018
Bradley Beal,2019,27093018
Jrue Holiday,2019,26131111
LaMarcus Aldridge,2019,26000000
Giannis Antetokounmpo,2019,25842697
Steven Adams,2019,25842697
Marc Gasol,2019,25595700
Nicolas Batum,2019,25565217
Rudy Gobert,2019,25258427
Chandler Parsons,2019,25102512
Harrison Barnes,2019,24147727
Serge Ibaka,2019,23271604
Danilo Gallinari,2019,22615559
Victor Oladipo,2019,21000000
Tim Hardaway Jr,2019,20025127
Malcolm Brogdon,2019,20000000
Terry Rozier,2019,19894737
Aaron Gordon,2019,19863636
Zach LaVine,2019,19500000
Kent Bazemore,2019,19269663
Goran Dragic,2019,19217900
Jeff Teague,2019,19000000
Evan Turner,2019,18606556
Tristan Thompson,2019,18539130
Draymond Green,2019,18539130
Gary Harris,2019,18189286
Myles Turner,2019,18000000
Julius Randle,2019,18000000
Derrick Favors,2019,17650000
Andre Iguodala,2019,17185185
Evan Fournier,2019,17150000
Bismack Biyombo,2019,17000000
Bojan Bogdanovic,2019,17000000
Clint Capela,2019,16896552
Gorgui Dieng,2019,16229213
Ricky Rubio,2019,16200000
Jonas Valanciunas,2019,16000000
Brandon Knight,2019,15643750
Eric Bledsoe,2019,15625000
Kelly Oubre,2019,15625000
Dennis Schroeder,2019,15500000
Ian Mahinmi,2019,15450051
James Johnson,2019,15349400
Marcus Morris,2019,15000000
Bobby Portis,2019,15000000
Danny Green,2019,14634147
Rudy Gay,2019,14500000
Cody Zeller,2019,14471910
Eric Gordon,2019,14057730
Mason Plumlee,2019,14041096
JJ Redick,2019,13486300
Jordan Clarkson,2019,13437500
Dewayne Dedmon,2019,13333334
Solomon Hill,2019,13290395
Justise Winslow,2019,13000000
Thaddeus Young,2019,12900000
Will Barton,2019,12776786
Courtney Lee,2019,12759670
Larry Nance Jr,2019,12727273
Patrick Mills,2019,12678571
Kelly Olynyk,2019,12667885
Marcus Smart,2019,12553571
Terrence Ross,2019,12500000
Patrick Beverley,2019,12345680
Trevor Ariza,2019,12200000
Brook Lopez,2019,12093024
Jusuf Nurkic,2019,12000000
Cory Joseph,2019,12000000
Joe Ingles,2019,11454546
Tony Snell,2019,11392857
Robert Covington,2019,11301219
Meyers Leonard,2019,11286515
TJ Warren,2019,11060000
Moe Harkless,2019,11011234
Andre Roberson,2019,10740740
Spencer Dinwiddie,2019,10605600
Jeremy Lamb,2019,10500000
Dwight Powell,2019,10259375
George Hill,2019,10133907
Josh Richardson,2019,10116576
Norman Powell,2019,10116576
Tyus Jones,2019,10116000
Tomas Satoransky,2019,10000000
DeAndre Jordan,2019,9881598
Zion Williamson,2019,9757440
Markelle Fultz,2019,9745200
John Henson,2019,9732396
Matthew Dellavedova,2019,9607500
Dante Exum,2019,9600000
Deandre Ayton,2019,9562920
Delon Wright,2019,9473684
Jerami Grant,2019,9346153
Fred VanVleet,2019,9346153
Al-Farouq Aminu,2019,9258000
Kyle Anderson,2019,9073050
Taj Gibson,2019,9000000
Ja Morant,2019,8730240
Lonzo Ball,2019,8719320
E'Twaun Moore,2019,8664928
Marvin Bagley,2019,8556120
Bogdan Bogdanovic,2019,8529386
PJ Tucker,2019,8349039
Cristiano Felicio,2019,8156500
Kentavious Caldwell-Pope,2019,8139282
Ben Simmons,2019,8113929
Maxi Kleber,2019,8000000
Louis Williams,2019,8000000
Elfrid Payton,2019,8000000
Wayne Ellington,2019,8000000
Thomas Bryant,2019,8000000
RJ Barrett,2019,7839960
Jayson Tatum,2019,7830000
Jae Crowder,2019,7815533
Luka Doncic,2019,7683360
Joe Harris,2019,7666667
Seth Curry,2019,7461380
DeMarre Carroll,2019,7339258
Langston Galloway,2019,7333333
Doug McDermott,2019,7333333
Derrick Rose,2019,7317074
Brandon Ingram,2019,7265485
Darius Miller,2019,7250000
DJ Augustin,2019,7250000
De'Andre Hunter,2019,7068360
Josh Jackson,2019,7059480
Ersan Ilyasova,2019,7000000
Davis Bertans,2019,7000000
Jaren Jackson Jr,2019,6927480
Nemanja Bjelica,2019,6825000
Jaylen Brown,2019,6534829
Jabari Parker,2019,6500000
Ivica Zubac,2019,6481482
Darius Garland,2019,6400920
De'Aaron Fox,2019,6392760
Trae Young,2019,6273000
Montrezl Harrell,2019,6000000
Ishmael Smith,2019,6000000
Marco Belinelli,2019,5846154
Jarrett Culver,2019,5813640
Jonathan Isaac,2019,5806440
Rodney Hood,2019,5718000
Mo Bamba,2019,5697600
Trey Lyles,2019,5500000
Aron Baynes,2019,5453280
Kris Dunn,2019,5348007
Coby White,2019,5307120
Lauri Markkanen,2019,5300400
Wendell Carter,2019,5201400
Daniel Theis,2019,5000000
Luol Deng,2019,5000000
Jaxson Hayes,2019,4862040
Buddy Hield,2019,4861207
Frank Ntilikina,2019,4855800
Rodney McGruder,2019,4807693
Enes Kanter,2019,4767000
Garrett Temple,2019,4767000
Justin Holiday,2019,4767000
JaMychal Green,2019,4767000
Avery Bradley,2019,4767000
Robin Lopez,2019,4767000
Mike Scott,2019,4767000
Frank Kaminsky,2019,4767000
Richaun Holmes,2019,4767000
Ed Davis,2019,4767000
Collin Sexton,2019,4764960
Rui Hachimura,2019,4469160
Kevon Looney,2019,4464286
Dennis Smith,2019,4463640
Jamal Murray,2019,4444746
Kevin Knox,2019,4380120
Cam Reddish,2019,4245720
Zach Collins,2019,4240200
Mikal Bridges,2019,4161000
Alex Len,2019,4160000
Nicolo Melli,2019,4102564
Cameron Johnson,2019,4033440
Malik Monk,2019,4028400
Dorian Finney-Smith,2019,4000000
JaVale McGee,2019,4000000
Reggie Bullock,2019,4000000
Patrick McCaw,2019,4000000
Shai Gilgeous-Alexander,2019,3952920
PJ Washington,2019,3831840
Luke Kennard,2019,3827160
Miles Bridges,2019,3755400
Jakob Poeltl,2019,3754885
Tyler Herro,2019,3640200
Donovan Mitchell,2019,3635760
Stanley Johnson,2019,3623000
Jake Layman,2019,3581986
Thon Maker,2019,3569643
Jerome Robinson,2019,3567720
Danuel House,2019,3540000
Domantas Sabonis,2019,3529554
Boban Marjanovic,2019,3500000
TJ McConnell,2019,3500000
DeMarcus Cousins,2019,3500000
Taurean Prince,2019,3481985
Dario Saric,2019,3481985
Romeo Langford,2019,3458400
Bam Adebayo,2019,3454080
Michael Porter,2019,3389400
Denzel Valentine,2019,3377568
Juan Hernangomez,2019,3321029
Sekou Doumbouya,2019,3285120
Justin Jackson,2019,3280920
Troy Brown,2019,3219480
Yogi Ferrell,2019,3150000
Zhaire Smith,2019,3058800
Ryan Arcidiacono,2019,3000000
Quinn Cook,2019,3000000
Khem Birch,2019,3000000
Nickeil Alexander-Walker,2019,2964840
DJ Wilson,2019,2961120
Cedi Osman,2019,2907143
Donte DiVincenzo,2019,2905800
Bryn Forbes,2019,2875000
Goga Bitadze,2019,2816760
TJ Leaf,2019,2813280
Lonnie Walker,2019,2764200
Alex Caruso,2019,2750000
Malik Beasley,2019,2731713
Luka Samanic,2019,2689920
John Collins,2019,2686560
Kevin Huerter,2019,2636280
Caris LeVert,2019,2625717
Marko Guduric,2019,2625000
DeAndre Bembry,2019,2603981
Matisse Thybulle,2019,2582160
Harry Giles,2019,2578800
Vince Carter,2019,2564753
Wilson Chandler,2019,2564753
Jose Juan Barea,2019,2564753
Thabo Sefolosha,2019,2564753
Tyson Chandler,2019,2564753
Dwight Howard,2019,2564753
Rajon Rondo,2019,2564753
Jared Dudley,2019,2564753
Udonis Haslem,2019,2564753
Kyle Korver,2019,2564753
Wesley Matthews,2019,2564753
Josh Okogie,2019,2530680
Vincent Poirier,2019,2505793
Rondae Hollis-Jefferson,2019,2500000
Brandon Clarke,2019,2478840
Terrance Ferguson,2019,2475840
Grayson Allen,2019,2429400
Alfonzo McKinnie,2019,2391985
Grant Williams,2019,2379840
Jarrett Allen,2019,2376840
Pascal Siakam,2019,2351838
Skal Labissiere,2019,2338846
Chandler Hutchison,2019,2332320
Patrick Patterson,2019,2331593
Dejounte Murray,2019,2321735
Alec Burks,2019,2320044
Damian Jones,2019,2305057
Darius Bazley,2019,2284800
Ante Zizic,2019,2281800
OG Anunoby,2019,2281800
Markieff Morris,2019,2259887
Luke Kornet,2019,2250000
Aaron Holiday,2019,2239200
Ty Jerome,2019,2193480
Willie Cauley-Stein,2019,2177483
Kyle O'Quinn,2019,2174318
Austin Rivers,2019,2174310
Carmelo Anthony,2019,2159029
Anfernee Simons,2019,2149560
Nassir Little,2019,2105520
Moritz Wagner,2019,2063520
Dylan Windler,2019,2035800
Caleb Swanigan,2019,2033160
Ben McLemore,2019,2028594
Mike Muscala,2019,2028594
Michael Carter-Williams,2019,2028594
Noah Vonleh,2019,2000000
Torrey Craig,2019,2000000
Edmond Sumner,2019,2000000
Landry Shamet,2019,1995120
Mfiondu Kabengele,2019,1977000
Kyle Kuzma,2019,1974600
Jordan Poole,2019,1964760
Tony Bradley,2019,1962360
Keldon Johnson,2019,1950600
Derrick White,2019,1948080
Robert Williams,2019,1937520
Josh Hart,2019,1934160
Jacob Evans,2019,1925880
Dzanan Musa,2019,1911600
Omari Spellman,2019,1897800
Nerlens Noel,2019,1882867
James Ennis,2019,1882867
Glenn Robinson III,2019,1882867
Bruno Caboclo,2019,1845301
Shabazz Napier,2019,1845301
JR Smith,2019,1746470
JaKarr Sampson,2019,1737145
Raul Neto,2019,1737145
Mario Hezonja,2019,1737145
Emmanuel Mudiay,2019,1737145
Pat Connaughton,2019,1723050
Jahlil Okafor,2019,1702486
Rodions Kurucs,2019,1699236
Cheick Diallo,2019,1678854
Willy Hernangomez,2019,1676735
Treveon Graham,2019,1645357
Christian Wood,2019,1645357
Derrick Jones,2019,1645357
Georges Niang,2019,1645357
Shaquille Harrison,2019,1620564
Furkan Korkmaz,2019,1620564
Semi Ojeleye,2019,1618520
Dwayne Bacon,2019,1618520
Dillon Brooks,2019,1618520
Sterling Brown,2019,1618520
Frank Jackson,2019,1618520
Damyean Dotson,2019,1618520
Abdel Nader,2019,1618520
Wesley Iwundu,2019,1618520
Royce O'Neale,2019,1618520
Monte Morris,2019,1588231
Malcolm Miller,2019,1588231
Chris Boucher,2019,1588231
Mitchell Robinson,2019,1559712
Isaiah Roby,2019,1500000
Nigel Williams-Goss,2019,1500000
Brad Wanamaker,2019,1445697
Thanasis Antetokounmpo,2019,1445697
Theo Pinson,2019,1445697
Shake Milton,2019,1445697
Wenyen Gabriel,2019,1445697
Devonte Graham,2019,1416852
Jalen Brunson,2019,1416852
Keita Bates-Diop,2019,1416852
Sviatoslav Mykhailiuk,2019,1416852
Khyri Thomas,2019,1416852
Bruce Brown,2019,1416852
Alize Johnson,2019,1416852
De'Anthony Melton,2019,1416852
Kendrick Nunn,2019,1416852
Duncan Robinson,2019,1416852
Jarred Vanderbilt,2019,1416852
Kenrich Williams,2019,1416852
Hamidou Diallo,2019,1416852
Deonte Burton,2019,1416852
Melvin Frazier,2019,1416852
Ryan Broekhoff,2019,1416852
Jevon Carter,2019,1416852
Elie Okobo,2019,1416852
Gary Trent Jr,2019,1416852
Chimezie Metu,2019,1416852
Isaac Bonga,2019,1416852
Bruno Fernando,2019,1400000
Jaylen Nowell,2019,1400000
Kevin Porter,2019,1290960
Jordan McRae,2019,1254933
Carsen Edwards,2019,1228026
Cody Martin,2019,1173310
Gary Payton II,2019,1052909
Terance Mann,2019,1000000
Admiral Schofield,2019,1000000
David Nwaba,2019,903111
Javonte Green,2019,898310
Nicolas Claxton,2019,898310
Jalen McDaniels,2019,898310
Caleb Martin,2019,898310
Daniel Gafford,2019,898310
Vlatko Cancar,2019,898310
Alen Smailagic,2019,898310
Eric Paschall,2019,898310
Talen Horton-Tucker,2019,898310
KZ Okpala,2019,898310
Naz Reid,2019,898310
Ignas Brazdeikis,2019,898310
Jalen Lecque,2019,898310
DaQuan Jeffries,2019,898310
Justin James,2019,898310
Matt Thomas,2019,898310
Terence Davis,2019,898310
Dewan Hernandez,2019,898310
Miye Oni,2019,898310
Damion Lee,2019,842327
Jeff Green,2019,840427
Timothe Luwawu,2019,837583
Juwan Morgan,2019,746054
Gary Clark,2019,718765
Marvin Williams,2019,604278
Michael Kidd-Gilchrist,2019,595122
Rayjon Tucker,2019,578573
Chris Clemons,2019,563346
Brandon Goodwin,2019,522738
Reggie Jackson,2019,512721
Justin Patton,2019,483115
Anzejs Pasecniks,2019,482144
Chris Silva,2019,466918
Troy Daniels,2019,458439
Anthony Tolliver,2019,434704
Joakim Noah,2019,381360
Dion Waiters,2019,375385
Dean Wade,2019,375000
Ky Bowman,2019,350189
Juan Toscano-Anderson,2019,350189
Norvel Pelle,2019,350189
Jamal Crawford,2019,289803
Jordan Bell,2019,250000
Tyler Zeller,2019,245686
Trey Burke,2019,229220
Jontay Porter,2019,197933
Cameron Payne,2019,196288
Jerian Grant,2019,196288
Dragan Bender,2019,189700
Mychal Mulder,2019,187782
Tyler Johnson,2019,183115
PJ Dozier,2019,183115
Sindarius Thornwell,2019,183115
Corey Brewer,2019,183115
Joe Chealey,2019,163356
Jaylen Adams,2019,163356
Johnathan Williams,2019,161245
Luguentz Dort,2019,155647
Oshae Brissett,2019,129568
JP Macura,2019,106181
Donta Hall,2019,101504
Sheldon Mac,2019,91557
Chasson Randle,2019,91557
Jonah Bolden,2019,89846
Derrick Walton,2019,81678
Charlie Brown,2019,79568
Tacko Fall,2019,79568
Tremont Waters,2019,79568
Jeremiah Martin,2019,79568
Chris Chiozza,2019,79568
Raymond Spalding,2019,79568
Kobi Simmons,2019,79568
Max Strus,2019,79568
Adam Mokoka,2019,79568
Matt Mooney,2019,79568
Josh Reaves,2019,79568
Antonius Cleveland,2019,79568
Bol Bol,2019,79568
Tyler Cook,2019,79568
Jordan Bone,2019,79568
Louis King,2019,79568
Michael Frazier,2019,79568
William Howard,2019,79568
Naz Long,2019,79568
Brian Bowen,2019,79568
Johnathan Motley,2019,79568
Amir Coffey,2019,79568
Devontae Cacok,2019,79568
Kostas Antetokounmpo,2019,79568
John Konchar,2019,79568
Yuta Watanabe,2019,79568
Kyle Alexander,2019,79568
Gabe Vincent,2019,79568
Cam Reynolds,2019,79568
Frank Mason,2019,79568
Kelan Martin,2019,79568
Jordan McLaughlin,2019,79568
Zylan Cheatham,2019,79568
Josh Gray,2019,79568
Kenny Wooten,2019,79568
Jared Harper,2019,79568
Kevin Hervey,2019,79568
Vic Law,2019,79568
BJ Johnson,2019,79568
Marial Shayok,2019,79568
Tariq Owens,2019,79568
Moses Brown,2019,79568
Jaylen Hoard,2019,79568
Kyle Guy,2019,79568
Drew Eubanks,2019,79568
Quinndary Weatherspoon,2019,79568
Paul Watson,2019,79568
Jarrell Brantley,2019,79568
Justin Wright-Foreman,2019,79568
Garrison Mathews,2019,79568
Malik Newman,2019,65978
Stephen Curry,2018,37457154
Russell Westbrook,2018,35665000
Chris Paul,2018,35654150
LeBron James,2018,35654150
Kyle Lowry,2018,32700000
Blake Griffin,2018,31873932
Gordon Hayward,2018,31214295
James Harden,2018,30570000
Paul George,2018,30560700
Mike Conley,2018,30521115
Kevin Durant,2018,30000000
Paul Millsap,2018,29230769
Al Horford,2018,28928710
Damian Lillard,2018,27977689
DeMar DeRozan,2018,27739975
Chris Bosh,2018,26837720
Jrue Holiday,2018,26641111
Otto Porter,2018,26011913
CJ McCollum,2018,25759766
Nikola Jokic,2018,25467250
Andrew Wiggins,2018,25467250
Joel Embiid,2018,25467250
Anthony Davis,2018,25434263
Andre Drummond,2018,25434262
Bradley Beal,2018,25434262
Hassan Whiteside,2018,24434262
Dwight Howard,2018,24256725
Giannis Antetokounmpo,2018,24157304
Steven Adams,2018,24157304
Kevin Love,2018,24119025
Marc Gasol,2018,24119025
Chandler Parsons,2018,24107258
Harrison Barnes,2018,24107258
Nicolas Batum,2018,24000000
Rudy Gobert,2018,23491573
Kawhi Leonard,2018,23114066
DeAndre Jordan,2018,22897200
LaMarcus Aldridge,2018,22347015
Serge Ibaka,2018,21666667
Aaron Gordon,2018,21590909
Danilo Gallinari,2018,21587579
Victor Oladipo,2018,21000000
Ryan Anderson,2018,20421546
Joakim Noah,2018,20261172
Kyrie Irving,2018,20099189
Jabari Parker,2018,20000000
Jimmy Butler,2018,19841627
Zach LaVine,2018,19500000
Wesley Matthews,2018,19360228
Allen Crabbe,2018,19332500
Enes Kanter,2018,19264603
Tyler Johnson,2018,19245370
John Wall,2018,19169800
George Hill,2018,19000000
Jeff Teague,2018,19000000
Klay Thompson,2018,18988725
Goran Dragic,2018,18109175
Kent Bazemore,2018,18089888
Evan Turner,2018,17868853
Tristan Thompson,2018,17469565
Draymond Green,2018,17469565
Tim Hardaway Jr,2018,17325000
Pau Gasol,2018,17133285
Reggie Jackson,2018,17043478
Bismack Biyombo,2018,17000000
Evan Fournier,2018,17000000
Derrick Favors,2018,16900000
Luol Deng,2018,16747954
Jonas Valanciunas,2018,16539326
Gary Harris,2018,16517857
